player_id,player_name,position,season,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,dom
00-0034351,Dallas Goedert,TE,2022,0,0,0.0,0,0.0,0,0.0,0,55,69,702.0,3,86.2,141.2,0.18449197860962566,0.14696707105719237,0.3943116247601924,0.20153419663540045
00-0034351,Dallas Goedert,TE,2023,0,0,0.0,0,0.0,1,1.0,0,59,83,592.0,3,77.3,136.3,0.17965367965367965,0.10845722641969291,0.3562463006162738,0.1619820746400235
00-0034351,Dallas Goedert,TE,2024,0,0,0.0,0,0.0,0,0.0,0,42,52,496.0,2,61.599999999999994,103.6,0.17993079584775087,0.15576748410535876,0.39451018105591334,0.1966788543570993
00-0034353,Anthony Miller,WR,2024,0,0,0.0,0,0.0,0,0.0,0,1,1,16.0,0,1.6,2.6,0.058823529411764705,0.07853403141361257,0.15106251924853709,0.043478260869565216
00-0034355,M.J. Stewart,DB,2022,0,0,0.0,0,0.0,1,3.0,0,0,0,0.0,0,0.30000000000000004,0.30000000000000004,0.0,0.0,0.0,0.0
00-0034360,Lorenzo Carter,LB,2022,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.0
00-0034364,Jordan Akins,TE,2022,0,0,0.0,0,0.0,0,0.0,0,37,54,495.0,5,79.5,116.5,0.10714285714285714,0.0881104033970276,0.23120260843190776,0.21563307493540051
00-0034364,Jordan Akins,TE,2023,0,0,0.0,0,0.0,0,0.0,0,15,23,132.0,0,13.200000000000001,28.200000000000003,0.04904051172707889,0.025509010063187457,0.0939679756411683,0.0207286432160804
00-0034364,Jordan Akins,TE,2024,0,0,0.0,0,0.0,0,0.0,0,40,58,390.0,2,51.0,91.0,0.09090909090909091,0.06767817927730085,0.19050617978547704,0.10517806237501595
00-0034365,Ian Thomas,TE,2022,0,0,0.0,0,0.0,0,0.0,0,21,30,197.0,0,19.700000000000003,40.7,0.08042895442359249,0.02593984962406015,0.14139531133463687,0.03640059127864006
00-0034365,Ian Thomas,TE,2023,0,0,0.0,0,0.0,0,0.0,0,5,9,56.0,0,5.6000000000000005,10.6,0.037037037037037035,0.04524361948955916,0.09175045114720289,0.02014388489208633
00-0034365,Ian Thomas,TE,2024,0,0,0.0,0,0.0,0,0.0,0,3,6,7.0,0,0.7000000000000001,3.7,0.07407407407407407,0.04878048780487805,0.15013550135501355,0.008027522935779817
00-0034366,Keke Coutee,WR,2022,0,0,0.0,0,0.0,0,0.0,0,1,1,20.0,0,0.0,1.0,0.03571428571428571,0.06976744186046512,0.10938538205980067,0.04504504504504504
00-0034367,Nyheim Hines,RB,2022,0,0,0.0,0,0.0,24,33.0,1,30,37,241.0,1,51.4,81.4,0.06548672566371681,0.02493015258972706,0.11817421056735686,0.053585147247119075
00-0034383,Dalton Schultz,TE,2022,0,0,0.0,0,0.0,0,0.0,0,57,89,577.0,5,85.7,142.7,0.18275154004106775,0.16393442622950818,0.4052748510452082,0.17823065980960717
