,player_name,position,season,fantasy_points_ppr,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,tgt_sh,ay_sh,wopr_y,dom
1659,Jalin Hyatt,WR,2023,60.3,0.0,0,0.0,0.0,0,23,40,373.0,0,0.0982800982800982,0.2701574044330228,0.3635460709665656,0.066275764036958
1660,Jalin Hyatt,WR,2024,14.2,0.0,0,0.0,0.0,0,8,19,62.0,0,0.0509383378016085,0.1482237648019599,0.1949865185439808,0.0158486707566462
1661,Tyler Scott,WR,2023,35.900000000000006,0.0,0,0.0,41.0,0,17,32,168.0,0,0.0818414322250639,0.1255088195386703,0.2231692039685321,0.0330578512396694
1662,Tyler Scott,WR,2024,1.5,0.0,0,0.0,0.0,0,1,1,5.0,0,0.03125,-0.0085836909871244,0.0400080472103004,0.0127551020408163
1663,Sean Tucker,RB,2023,5.2,0.0,0,0.0,23.0,0,2,2,9.0,0,0.021505376344086,-0.00390625,0.029133064516129,0.0070754716981132
1664,Sean Tucker,RB,2024,68.7,0.0,0,0.0,308.0,2,9,12,109.0,1,0.0306122448979591,0.0043557168784029,0.0494029408496611,0.0343153141474375
1665,Marvin Mims,WR,2023,74.7,0.0,0,0.0,30.0,0,22,33,377.0,1,0.0718954248366013,0.1463917525773196,0.2249565393167576,0.0772843571580867
1666,Marvin Mims Jr.,WR,2024,129.5,0.0,0,0.0,42.0,0,39,52,503.0,6,0.0954128440366972,0.0990456538560742,0.2223557891399053,0.1705507305045449
1667,Tank Dell,WR,2023,165.0,0.0,0,0.0,51.0,0,47,75,709.0,7,0.2049180327868852,0.3219981944026482,0.5649756047024465,0.3097289972899729
1668,Tank Dell,WR,2024,140.0,0.0,0,0.0,43.0,0,51,81,667.0,3,0.1723404255319149,0.2644456012493493,0.4700671192973518,0.1911991718576902
1669,Cedric Tillman,WR,2023,44.2,0.0,0,0.0,8.0,0,21,44,224.0,0,0.1050119331742243,0.1345214141994826,0.2651350311209226,0.0414661236579044
1670,Cedric Tillman,WR,2024,80.4,0.0,0,0.0,-5.0,0,29,49,339.0,3,0.1392045454545454,0.1896907216494845,0.3605593955014058,0.2277879761358421
1672,Jordan Addison,WR,2023,221.3,0.0,0,0.0,2.0,0,70,108,911.0,10,0.1711568938193343,0.2732251521298174,0.4753154624328555,0.2635815602836879
1673,Jordan Addison,WR,2024,212.5,0.0,0,0.0,20.0,1,63,99,875.0,9,0.2004048582995951,0.3010550996483001,0.5414513671680328,0.2664955690093884
1674,Tucker Kraft,TE,2023,78.5,0.0,0,0.0,0.0,0,31,40,355.0,2,0.1123595505617977,0.0534796023311621,0.2113230077076263,0.112828452468423
1675,Tucker Kraft,TE,2024,163.3,0.0,0,0.0,6.0,0,50,70,707.0,7,0.1461377870563674,0.0893240983998089,0.2906659593043983,0.2147435897435897
1676,Josh Downs,WR,2023,157.1,0.0,0,0.0,0.0,0,68,98,771.0,2,0.1707317073170731,0.1661574618096357,0.3890235304233184,0.1548600377812124
1677,Josh Downs,WR,2024,182.2,0.0,0,0.0,-1.0,0,72,107,803.0,5,0.2454128440366972,0.1702226345083488,0.5042973736617249,0.2972782476686185
1678,Jake Haener,QB,2024,13.24,226.0,1,1.0,22.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1679,Roschon Johnson,RB,2023,102.1,0.0,0,0.0,352.0,2,34,40,209.0,0,0.0869565217391304,-0.009217877094972,0.123060480932718,0.0335150737652341
1680,Roschon Johnson,RB,2024,77.4,0.0,0,0.0,150.0,6,16,20,104.0,0,0.0493827160493827,0.0035054174633524,0.076878408044756,0.019309320460453
1681,Tyjae Spears,RB,2023,153.8,0.0,0,0.0,453.0,2,52,70,385.0,1,0.1417004048582996,-0.0026263952724885,0.2104494910694586,0.0905263586072242
1682,Tyjae Spears,RB,2024,113.6,0.0,0,0.0,312.0,4,30,35,224.0,1,0.0951086956521739,-0.0108164689462665,0.1340098683212476,0.08045154957229
1683,De'Von Achane,RB,2023,190.7,0.0,0,0.0,800.0,8,27,37,197.0,3,0.1063218390804597,0.0102161100196463,0.1676556466364067,0.1162324649298597
1684,De'Von Achane,RB,2024,299.9,0.0,0,0.0,907.0,6,78,87,592.0,6,0.1472081218274111,-0.0094314201023982,0.2132670466591981,0.2097035768988197
1685,Elijah Higgins,TE,2023,36.3,0.0,0,0.0,0.0,0,14,19,163.0,1,0.0629139072847682,0.0589590050667895,0.1415380649805839,0.0918163160595177
1686,Elijah Higgins,TE,2024,49.2,0.0,0,0.0,0.0,0,20,24,172.0,2,0.0547945205479452,0.03456,0.1098397808219178,0.0987822609960014
1687,Payne Durham,TE,2023,10.8,0.0,0,0.0,0.0,0,5,7,58.0,0,0.0301724137931034,0.036144578313253,0.0741742833402575,0.0200553250345781
1688,Payne Durham,TE,2024,34.5,0.0,0,0.0,0.0,0,11,14,115.0,2,0.0823529411764705,0.098256735340729,0.2021348000372891,0.142910447761194
1689,Trey Palmer,WR,2023,95.7,0.0,0,0.0,22.0,0,39,68,385.0,3,0.1197183098591549,0.1512846865364851,0.3006052140179204,0.1011728133389854
